Time,Temperature,Humidity
2020-10-02 00:37:18,22.23,67.02
2020-10-02 00:27:18,22.19,66.83
2020-10-02 00:17:18,22.12,67.42
2020-10-02 00:07:18,22.07,67.63
2020-10-01 23:57:18,22.03,67.83
2020-10-01 23:47:18,21.99,68.03
2020-10-01 23:37:18,21.94,68.23
2020-10-01 23:27:18,21.90,68.43
2020-10-01 23:17:18,21.86,68.63
2020-10-01 23:07:18,21.81,68.83
2020-10-01 22:57:18,21.77,69.03
2020-10-01 22:47:18,21.73,69.23
2020-10-01 22:37:18,21.64,67.17
2020-10-01 22:27:18,21.55,67.40
2020-10-01 22:17:18,21.46,67.62
2020-10-01 22:07:18,21.37,67.84
2020-10-01 21:57:18,21.28,68.06
2020-10-01 21:47:18,21.19,68.28
2020-10-01 21:37:18,21.10,68.50
2020-10-01 21:27:18,21.01,68.72
2020-10-01 21:17:18,20.92,68.94
2020-10-01 21:07:18,20.84,69.16
2020-10-01 20:57:18,20.79,68.51
2020-10-01 20:47:18,20.74,68.67
2020-10-01 20:37:18,20.70,68.83
2020-10-01 20:27:18,20.66,68.98
2020-10-01 20:17:18,20.62,69.14
2020-10-01 20:07:18,20.58,69.30
2020-10-01 19:57:18,20.54,69.45
2020-10-01 19:47:18,20.50,69.61
2020-10-01 19:37:18,20.46,69.77
2020-10-01 19:27:18,20.42,69.92
2020-10-01 19:17:18,20.38,69.37
2020-10-01 19:07:18,20.34,69.34
2020-10-01 18:57:18,20.30,69.31
2020-10-01 18:47:18,20.27,69.28
2020-10-01 18:37:18,20.23,69.25
2020-10-01 18:27:18,20.20,69.22
2020-10-01 18:17:18,20.16,69.19
2020-10-01 18:07:18,20.13,69.16
2020-10-01 17:57:18,20.09,69.13
2020-10-01 17:47:18,20.06,69.10
2020-10-01 17:37:18,20.01,69.18
2020-10-01 17:27:18,19.98,69.16
2020-10-01 17:17:18,19.96,69.14
2020-10-01 17:07:18,19.94,69.12
2020-10-01 16:57:18,19.92,69.10
2020-10-01 16:47:18,19.90,69.08
2020-10-01 16:37:18,19.88,69.06
2020-10-01 16:27:18,19.86,69.04
2020-10-01 16:17:18,19.84,69.02
2020-10-01 16:07:18,19.82,69.00
2020-10-01 15:57:18,19.76,69.09
2020-10-01 15:47:18,19.74,69.05
2020-10-01 15:37:18,19.72,69.02
2020-10-01 15:27:18,19.70,68.99
2020-10-01 15:17:18,19.68,68.96
2020-10-01 15:07:18,19.66,68.92
2020-10-01 14:57:18,19.64,68.89
2020-10-01 14:47:18,19.62,68.86
2020-10-01 14:37:18,19.60,68.83
2020-10-01 14:27:18,19.59,68.80
2020-10-01 14:17:18,19.57,68.89
2020-10-01 14:07:18,19.54,68.85
2020-10-01 13:57:18,19.52,68.82
2020-10-01 13:47:18,19.50,68.79
2020-10-01 13:37:18,19.48,68.76
2020-10-01 13:27:18,19.46,68.73
2020-10-01 13:17:18,19.44,68.70
2020-10-01 13:07:18,19.42,68.67
2020-10-01 12:57:18,19.40,68.64
2020-10-01 12:47:18,19.38,68.61
2020-10-01 12:37:18,19.37,68.64
2020-10-01 12:27:18,19.34,68.72
2020-10-01 12:17:18,19.32,68.80
2020-10-01 12:07:18,19.29,68.88
2020-10-01 11:57:18,19.27,68.96
2020-10-01 11:47:18,19.24,69.04
2020-10-01 11:37:18,19.22,69.12
2020-10-01 11:27:18,19.19,69.20
2020-10-01 11:17:18,19.17,69.28
2020-10-01 11:07:18,19.15,69.35
2020-10-01 10:57:18,19.13,69.40
2020-10-01 10:47:18,19.10,69.37
2020-10-01 10:37:18,19.08,69.35
2020-10-01 10:27:18,19.05,69.32
2020-10-01 10:17:18,19.03,69.30
2020-10-01 10:07:18,19.00,69.27
2020-10-01 09:57:18,18.98,69.25
2020-10-01 09:47:18,18.95,69.22
2020-10-01 09:37:18,18.93,69.20
2020-10-01 09:27:18,18.91,69.18
2020-10-01 09:17:18,18.89,69.08
2020-10-01 09:07:18,18.84,69.02
2020-10-01 08:57:18,18.80,68.96
